id,company1,company2,company3,company4,company5,company6,namemine,town,province,latitude,longitude,open1,close1,open2,close2,open3,close3,commodity1,commodity2,commodity3,commodity4,commodity5,commodity6,commodity7,commodity8,active_status
0,Quebec Copper,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Quebec,45.263786,-72.331764,1866,1958,N/A,N/A,N/A,N/A,Copper,Gold,Silver,N/A,N/A,N/A,N/A,N/A,False
1,Noland Mines,N/A,N/A,N/A,N/A,N/A,Spruce Creek,Atlin,British Columbia,59.38272,-133.27033,1909,1950,1955,1989,N/A,N/A,Gold,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
2,Falconbridge Nickel Mines,N/A,N/A,N/A,N/A,N/A,Wesfrob (Tasu),Moresby Island,British Columbia,52.75834,-132.05,1914,1983,N/A,N/A,N/A,N/A,Iron,Copper,N/A,N/A,N/A,N/A,N/A,N/A,False
3,Greenwood Coal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Nova Scotia,45.5502192,-62.56677981,1918,1966,N/A,N/A,N/A,N/A,Coal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
4,Noranda Mines,Normetal Mining,Falconbridge,Xstrata,N/A,N/A,Horne,Noranda,Quebec,48.25427,-79.01128,1927,1976,N/A,N/A,N/A,N/A,Copper,Gold,Silver,Selenium,Tellurium,Pyrite,N/A,N/A,False
5,Domtar Construction Materials,Gypsum Lime and Alabastine Canada,N/A,N/A,N/A,N/A,Amaranth,Amaranth (Gypsumville),Manitoba,50.57638889,-98.73333333,1930,1964,N/A,N/A,N/A,N/A,Gypsum,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
6,General Chemical Canada,N/A,N/A,N/A,N/A,N/A,N/A,Amherstburg,Ontario,42.09538943,-83.08761897,1936,2001,N/A,N/A,N/A,N/A,Salt,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
7,Dominion Magnesium,Chromasco,Timminco,N/A,N/A,N/A,Haley,Haley,Ontario,45.59888,-76.75171,1942,2022,N/A,N/A,N/A,N/A,Magnesium,N/A,N/A,N/A,N/A,N/A,N/A,N/A,True
8,Canadian Exploration,N/A,N/A,N/A,N/A,N/A,Jersey Emerald,Salmo,British Columbia,49.09861,-117.22111,1944,1970,N/A,N/A,N/A,N/A,Lead,Zinc,Silver,Cadmium,Tungsten,Molybdenum,Gold,N/A,False
9,Kidd Copper Mines,Denison Copper Mines,N/A,N/A,N/A,N/A,"Gersdorffite, AER, and  Kidd Copper or  Howland Pit",Worthington,Ontario,46.39465,-81.43186,1946,1958,1965,1968,1965,1968,Nickel,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
10,Mackeno Mines,Galkeno Mines,N/A,N/A,N/A,N/A,N/A,Galkeno Mine (MacLeod Mine),Yukon,63.92692,-135.36625,1946,1966,1978,1980,N/A,N/A,Silver,Lead,Zinc,Cadmium,N/A,N/A,N/A,N/A,False
11,Oreo Resources,Donalda Mines,Metall Mining and Thunderwood Resources,Kerralda Mines,N/A,N/A,Donalda (Keralda),Rouyn-Noranda,Quebec,48.262661,-78.98609,1948,1956,1970,1971,1994,1995,Gold,Copper,Zinc,Lead,Silver,N/A,N/A,N/A,False
12,Avon Coal,N/A,N/A,N/A,N/A,N/A,N/A,Minto,New Brunswick,46.128611,-66.081944,1950,1971,N/A,N/A,N/A,N/A,Coal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
13,Noranda,Brunswick Mining and Smelting and Noranda Minerals,N/A,N/A,N/A,N/A,Stratmat (Halfmile),N/A,New Brunswick,47.30527778,-66.32,1951,2022,N/A,N/A,N/A,N/A,Zinc,Lead,Copper,Gold,Silver,N/A,N/A,N/A,True
14,Mountain Minerals,Mountain Mineral,Highwood Resources,Purcell Development,N/A,N/A,Mountainrals Division,Brisco,British Columbia,50.829721,-116.33055,1952,1977,N/A,N/A,N/A,N/A,Barite,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
15,Cassiar Asbestos,Cassiar Mining,Minroc Mines,Brinco Mining,N/A,N/A,N/A,Cassiar,British Columbia,59.324999,-129.81805,1952,1998,N/A,N/A,N/A,N/A,Asbestos,Chrysotile,Jade/Nephrite,Gemstones,Magnesium,N/A,N/A,N/A,False
16,Century Coals,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Alberta,51.2783727,-112.5293468,1954,1965,N/A,N/A,N/A,N/A,Coal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
17,Marban Gold Mines,Maudore Minerals,Abcourt Mines,North American Palladium,N/A,N/A,N/A,Norrie,Quebec,48.137067,-77.97919,1961,1974,N/A,N/A,N/A,N/A,Gold,Silver,N/A,N/A,N/A,N/A,N/A,N/A,False
18,Steep Rock Iron Mines,OMYA,N/A,N/A,N/A,N/A,Calcite Division,Perth,Ontario,45.149689,-76.498756,1962,2022,N/A,N/A,N/A,N/A,Calcium Carbonate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,True
19,Cupra Mines,Sullivan Mining Group,N/A,N/A,N/A,N/A,Cupra (Mine Cupra-d'Estrie),Stratford,Quebec,45.771559,-71.309266,1965,1977,N/A,N/A,N/A,N/A,Copper,Zinc,Silver,Gold,Lead,Cadmium,Bismuth,N/A,False
20,New Imperial Mines,Whitehorse Copper Mines,N/A,N/A,N/A,N/A,N/A,Whitehorse,Yukon,60.73673403,-135.0834051,1967,1982,N/A,N/A,N/A,N/A,Copper,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
21,Madeleine Mines,N/A,N/A,N/A,N/A,N/A,Madeleine,Ste. Anne des Monts,Quebec,49.0,-66.01667,1969,1976,1979,1979,N/A,N/A,Copper,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
22,Sherritt Gordon Mines,Hudson Bay Mining and Smelting,N/A,N/A,N/A,N/A,Ruttan,Leaf Rapids,Manitoba,56.475,-99.63722222,1973,2001,N/A,N/A,N/A,N/A,Copper,Zinc,N/A,N/A,N/A,N/A,N/A,N/A,False
23,Marietta Resources International,Lacana Mines,Zemex,Suzorite Mica products of Boucherville,N/A,N/A,Parent Mica Deposit,Suzor,Quebec,47.93841183,-74.63460245,1976,2022,N/A,N/A,N/A,N/A,Mica,N/A,N/A,N/A,N/A,N/A,N/A,N/A,True
24,Baskatong Quartz Products,Sitec Quartz,SKW Canada,Hogan Holdings,N/A,N/A,Charlevoix,Charlevoix (Saint-Urbain),Quebec,47.7499003,-70.69671076,1977,2022,N/A,N/A,N/A,N/A,Silica,N/A,N/A,N/A,N/A,N/A,N/A,N/A,True
25,Long Lac Minerals,Lac Minerals,N/A,N/A,N/A,N/A,Bousquet (No. 1 and 2),Cadillac,Quebec,48.253881,-78.452902,1978,2002,N/A,N/A,N/A,N/A,Gold,Silver,Copper,Zinc,N/A,N/A,N/A,N/A,False
